1,4.17,8349.00,1.0,1541795567714
2,9.76,7524.00,1.0,1541795567730
3,11.10,6269.00,1.0,1541795567742
4,12.16,4734.00,1.0,1541795567753
5,14.71,1974.00,1.0,1541795567764
6,15.72,2087.00,1.0,1541795567778
7,17.56,2292.00,1.0,1541795567787
8,20.00,2650.00,1.0,1541795567795
9,21.00,2768.00,0.925,1541795567806
10,22.00,2903.00,0.925,1541795567814
11,24.00,3223.00,1.0,1541795567823
12,26.00,3467.00,1.0,1541795567831
13,27.00,3573.00,0.475,1541795567839
14,30.00,3900.00,0.725,1541795567844
15,31.00,4016.00,0.55,1541795567852
16,32.00,4124.00,0.8,1541795567860
17,32.00,4260.00,0.6,1541795567867
18,35.00,4569.00,0.425,1541795567873
19,37.00,4838.00,0.55,1541795567878
20,39.00,5022.00,0.625,1541795567884
21,39.00,5111.00,0.95,1541795567891
22,40.00,5185.00,0.75,1541795567897
23,42.00,4829.00,0.9,1541795567903
24,42.27,8697.00,0.7,1541795567911
25,41.87,3766.00,0.95,1541795567920
26,41.43,10574.00,0.725,1541795567933
27,41.31,9622.00,0.925,1541795567942
28,41.21,3839.00,0.575,1541795567951
29,41.14,3360.00,0.55,1541795567957
30,41.01,3227.00,0.45,1541795567963
31,40.83,3304.00,0.325,1541795567968
32,40.76,3197.00,0.125,1541795567973
33,40.69,2972.00,0.075,1541795567977
34,40.76,2876.00,0.05,1541795567980
35,40.00,3400.00,0.05,1541795567982
36,40.00,5662.00,0.375,1541795567985
37,40.00,9136.00,0.45,1541795567990
38,40.00,7812.00,0.425,1541795567996
39,40.00,6393.00,0.35,1541795568014
40,40.00,3416.00,0.075,1541795568019
41,40.00,3182.00,0.025,1541795568021
42,40.00,3170.00,0.0,1541795568024
43,40.00,3223.00,0.0,1541795568026
44,40.00,3220.00,0.0,1541795568028
45,39.00,3202.00,0.0,1541795568030
46,39.85,3196.00,0.0,1541795568032
47,39.61,3211.00,0.0,1541795568034
48,39.41,3208.00,0.0,1541795568036
49,39.27,3224.00,0.0,1541795568039
50,39.22,3215.00,0.0,1541795568043
51,37.80,4951.00,0.35,1541795568048
52,38.57,4918.00,0.35,1541795568052
53,39.37,5030.00,0.325,1541795568057
54,41.22,5275.00,0.175,1541795568060
55,42.32,5417.00,0.2,1541795568063
56,43.53,5569.00,0.2,1541795568066
57,45.65,5868.00,0.25,1541795568069
58,46.70,6011.00,0.15,1541795568074
59,47.81,6159.00,0.325,1541795568079
60,48.93,6315.00,0.35,1541795568083
61,50.11,6467.00,0.275,1541795568086
62,52.41,6756.00,0.325,1541795568090
63,53.58,6881.00,0.35,1541795568094
64,54.66,7028.00,0.3,1541795568098
65,55.85,7164.00,0.3,1541795568103
66,56.99,7253.00,0.35,1541795568109
67,57.54,4532.00,0.5,1541795568116
68,57.70,4848.00,0.575,1541795568122
69,58.30,4598.00,0.575,1541795568127
70,58.00,4643.00,0.525,1541795568132
71,59.00,4718.00,0.525,1541795568137
72,59.00,4708.00,0.475,1541795568142
73,59.00,4746.00,0.3,1541795568146
74,60.00,4787.00,0.0,1541795568150
75,60.00,4804.00,0.0,1541795568151
76,60.00,4844.00,0.0,1541795568153
77,61.00,4909.00,0.0,1541795568155
78,62.00,4931.00,0.0,1541795568156
79,62.00,4954.00,0.0,1541795568158
80,62.00,4250.00,0.1,1541795568160
81,62.00,4074.00,0.075,1541795568162
82,62.00,4006.00,0.075,1541795568164
83,62.16,4131.00,0.0,1541795568166
84,61.61,3844.00,0.075,1541795568168
85,61.59,4139.00,0.0,1541795568169
86,60.98,3276.00,0.175,1541795568173
87,61.00,3330.00,0.1,1541795568176
88,60.69,3210.00,0.175,1541795568178
89,60.68,3272.00,0.075,1541795568182
90,60.72,3274.00,0.025,1541795568185
