134,57.03,3081.00,0.0,1541796629075
135,57.38,3093.00,0.025,1541796629076
136,57.73,3038.00,0.0,1541796629077
137,57.60,3122.00,0.025,1541796629079
138,57.40,3110.00,0.05,1541796629081
139,57.45,3094.00,0.0,1541796629082
140,57.58,3100.00,0.15,1541796629084
141,57.47,3098.00,0.0,1541796629086
142,57.29,3080.00,0.025,1541796629087
143,57.00,3066.00,0.0,1541796629089
144,57.00,3098.00,0.0,1541796629090
145,57.00,3093.00,0.05,1541796629092
146,57.00,3072.00,0.025,1541796629093
147,56.00,3100.00,0.225,1541796629095
148,57.00,3089.00,0.125,1541796629098
149,57.00,3084.00,0.0,1541796629100
150,57.00,3107.00,0.025,1541796629101
151,57.00,3119.00,0.0,1541796629103
152,57.00,3133.00,0.025,1541796629104
153,57.00,3118.00,0.025,1541796629106
154,57.00,3108.00,0.0,1541796629107
155,57.00,3113.00,0.0,1541796629109
156,57.00,3101.00,0.0,1541796629110
157,57.00,3115.00,0.0,1541796629111
158,57.00,3087.00,0.0,1541796629113
159,57.00,3123.00,0.0,1541796629114
160,57.00,3089.00,0.025,1541796629116
161,56.00,3111.00,0.225,1541796629118
162,57.00,3110.00,0.0,1541796629120
163,57.00,3075.00,0.0,1541796629121
164,56.00,3113.00,0.2,1541796629123
165,56.00,3101.00,0.175,1541796629126
166,56.00,3072.00,0.175,1541796629128
167,56.00,3082.00,0.05,1541796629130
168,56.00,3101.00,0.0,1541796629132
169,56.00,3094.00,0.0,1541796629133
170,56.00,3080.00,0.0,1541796629135
171,56.00,3082.00,0.0,1541796629136
172,56.00,3050.00,0.0,1541796629138
173,56.00,3082.00,0.0,1541796629139
174,56.00,3072.00,0.0,1541796629141
175,56.57,3062.00,0.0,1541796629142
176,56.44,3036.00,0.0,1541796629144
177,56.34,3025.00,0.0,1541796629145
178,56.38,3064.00,0.0,1541796629146
179,56.28,3046.00,0.0,1541796629148
180,56.16,3019.00,0.0,1541796629149
181,56.26,3015.00,0.0,1541796629151
182,56.07,3057.00,0.0,1541796629152
183,56.16,3049.00,0.0,1541796629153
184,56.11,3050.00,0.0,1541796629155
185,55.97,3042.00,0.0,1541796629156
186,55.83,3029.00,0.0,1541796629158
187,55.90,3024.00,0.0,1541796629159
188,55.72,3005.00,0.0,1541796629161
189,55.61,3027.00,0.0,1541796629162
190,55.73,3050.00,0.0,1541796629164
191,56.09,3027.00,0.0,1541796629165
192,56.42,3059.00,0.0,1541796629167
193,56.55,3061.00,0.0,1541796629168
194,56.58,3082.00,0.0,1541796629170
