1,221.05,1537053331436
2,226.94,1537053331536
3,0,1537053331636
4,206.25,1537053331736
5,0,1537053331837
6,0,1537053331937
7,0,1537053332037
8,0,1537053332137
9,221.02,1537053332238
10,227,1537053332338
11,223.93,1537053332438
12,206.25,1537053332539
13,0,1537053332639
14,0,1537053332739
15,0,1537053332839
16,221.07,1537053332940
17,227.03,1537053333040
18,224.12,1537053333140
19,206.28,1537053333240
20,0,1537053333340
21,0,1537053333441
22,0,1537053333541
23,0,1537053333641
24,0,1537053333741
25,221.08,1537053333842
26,227.07,1537053333942
27,224.24,1537053334042
28,206.26,1537053334144
29,0,1537053334245
30,0,1537053334345
31,0,1537053334445
32,221.09,1537053334545
33,227.08,1537053334646
34,224.4,1537053334746
35,206.28,1537053334846
36,0,1537053334946
37,0,1537053335047
38,0,1537053335148
39,0,1537053335248
40,221.09,1537053335348
41,227.09,1537053335448
42,224.45,1537053335548
43,206.26,1537053335649
44,0,1537053335749
45,0,1537053335849
46,0,1537053335949
47,0,1537053336050
48,226.83,1537053336150
49,221.09,1537053336250
50,226.85,1537053336350
51,224.56,1537053336450
52,206.25,1537053336551
53,0,1537053336651
54,0,1537053336751
55,0,1537053336851
56,0,1537053336952
57,224.59,1537053337052
58,221.14,1537053337152
59,226.92,1537053337252
60,224.63,1537053337354
61,206.24,1537053337454
62,0,1537053337554
63,0,1537053337655
64,0,1537053337755
65,0,1537053337855
66,221.12,1537053337955
67,226.92,1537053338056
68,224.66,1537053338156
69,206.2,1537053338256
70,0,1537053338356
71,0,1537053338456
72,0,1537053338557
73,0,1537053338657
74,221.12,1537053338757
75,226.9,1537053338857
76,224.77,1537053338958
77,206.18,1537053339058
78,0,1537053339158
79,0,1537053339259
80,0,1537053339359
81,0,1537053339459
82,0,1537053339560
83,221.12,1537053339660
84,226.88,1537053339760
85,224.81,1537053339860
86,206.17,1537053339960
87,0,1537053340060
88,0,1537053340161
89,0,1537053340261
90,0,1537053340361
91,221.12,1537053340461
92,226.87,1537053340562
93,224.86,1537053340662
94,206.15,1537053340762
95,0,1537053340862
96,0,1537053340962
97,0,1537053341064
98,0,1537053341164
99,221.13,1537053341264
100,226.95,1537053341364
101,224.87,1537053341464
102,206.15,1537053341565
103,0,1537053341665
104,0,1537053341765
105,0,1537053341865
106,0,1537053341965
107,221.12,1537053342066
108,226.96,1537053342166
109,224.92,1537053342266
110,206.13,1537053342366
111,0,1537053342466
112,0,1537053342567
113,0,1537053342667
114,221.11,1537053342767
115,226.96,1537053342867
116,224.93,1537053342967
117,206.12,1537053343068
118,0,1537053343168
119,0,1537053343268
120,0,1537053343368
121,0,1537053343468
122,221.08,1537053343568
123,226.97,1537053343669
124,225,1537053343769
125,206.08,1537053343869
126,0,1537053343969
127,0,1537053344070
128,0,1537053344170
129,0,1537053344270
130,0,1537053344370
131,221.08,1537053344470
132,226.96,1537053344571
133,225.1,1537053344671
134,206.15,1537053344771
135,0,1537053344872
136,0,1537053344972
137,0,1537053345072
138,0,1537053345172
139,221.06,1537053345272
140,227.02,1537053345373
141,225.08,1537053345473
142,206.18,1537053345573
143,0,1537053345673
144,0,1537053345773
145,0,1537053345873
146,0,1537053345974
147,221.05,1537053346074
148,227.02,1537053346174
149,225.16,1537053346274
150,206.22,1537053346374
151,0,1537053346474
152,0,1537053346575
153,0,1537053346675
154,0,1537053346775
155,221.03,1537053346875
156,227.03,1537053346975
157,225.22,1537053347076
158,206.25,1537053347176
159,0,1537053347276
160,0,1537053347376
161,0,1537053347476
162,0,1537053347576
163,206.25,1537053347677
164,221.02,1537053347777
165,227.04,1537053347877
166,225.26,1537053347977
167,206.25,1537053348078
168,0,1537053348178
169,0,1537053348278
170,0,1537053348378
171,0,1537053348479
172,227.04,1537053348579
173,221,1537053348679
174,227.07,1537053348779
175,225.32,1537053348879
176,206.27,1537053348980
177,0,1537053349080
178,0,1537053349180
179,0,1537053349280
180,0,1537053349380
181,0,1537053349481
182,221,1537053349581
183,227.14,1537053349681
184,225.35,1537053349781
185,206.24,1537053349881
186,0,1537053349981
187,0,1537053350082
188,0,1537053350182
189,220.97,1537053350282
190,227.22,1537053350382
